CookerStat, GenerateAssetRegistry=0.196867, Initialize=0.847615, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C8F181442721465A145C88E091972E6__1_0_13123_0, StartTime=2016.05.05-15.34.17, HierarchicalDDC=, DataSize=1425, Duration=0.964865, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50A167CE4E922D1DA238C3A65AE2710D__1_0_13123_0, StartTime=2016.05.05-15.34.17, HierarchicalDDC=, DataSize=603, Duration=6.596360, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FB42E920419673331F3AEF8BCBDD1620__1_0_13123_0, StartTime=2016.05.05-15.34.17, HierarchicalDDC=, DataSize=347, Duration=4.286468, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C64690F44615033D47D6F6A93E0B1950__1_0_13123_0, StartTime=2016.05.05-15.34.17, HierarchicalDDC=, DataSize=541, Duration=3.065605, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C6631C284709FC6500A08C816852CB42__1_0_13123_0, StartTime=2016.05.05-15.34.26, HierarchicalDDC=, DataSize=458, Duration=10.677006, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C24DCF5F430D131FC8A7EEBA4F09DF4F__1_0_13123_0, StartTime=2016.05.05-15.34.26, HierarchicalDDC=, DataSize=1525, Duration=3.506437, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F628E1EA429BF5A00D5C76A954C052FF__1_0_13123_0, StartTime=2016.05.05-15.34.26, HierarchicalDDC=, DataSize=653, Duration=3.183365, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8EB69564669F6658B546087F8BE6FD0__1_0_13123_0, StartTime=2016.05.05-15.34.26, HierarchicalDDC=, DataSize=347, Duration=1.331199, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B011E4304993C4F82B1A5BB05C64A115__1_0_13123_0, StartTime=2016.05.05-15.34.26, HierarchicalDDC=, DataSize=551, Duration=3.572486, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_694302AA48B3FA49892A65B541D111F2__1_0_13123_0, StartTime=2016.05.05-15.34.26, HierarchicalDDC=, DataSize=577, Duration=3.046662, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AE3162E847F12EA994EAE8A8298DB800__1_0_13123_0, StartTime=2016.05.05-15.34.29, HierarchicalDDC=, DataSize=458, Duration=1.703169, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EEE11F7F45EBDC0F2137AB8D2E27934F__1_0_13123_0, StartTime=2016.05.05-15.34.29, HierarchicalDDC=, DataSize=1487, Duration=3.057156, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F446A61245774F2F0769AAA081175A44__1_0_13123_0, StartTime=2016.05.05-15.34.29, HierarchicalDDC=, DataSize=653, Duration=2.781700, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DDD8FEBB40640F3E9EAB1D803D2F72BD__1_0_13123_0, StartTime=2016.05.05-15.34.29, HierarchicalDDC=, DataSize=347, Duration=1.171969, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6347A8984FB468461C038E9587A64E0C__1_0_13123_0, StartTime=2016.05.05-15.34.29, HierarchicalDDC=, DataSize=449, Duration=2.487555, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3225B11D4A8461C9A55059A1EEC40A85__1_0_13123_0, StartTime=2016.05.05-15.34.29, HierarchicalDDC=, DataSize=577, Duration=2.375681, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_99CD15594896CC8846AA60B1C1A78649__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=458, Duration=1.641475, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A29FC48543B45E6C7D5E79AD7813D0B8__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=1425, Duration=1.154307, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C23E32BD4DED3B63291688843AFB061A__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=447, Duration=3.564551, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21B416B74FC42CED72596EA04FDFAFF3__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=347, Duration=1.323268, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C1240FC4B84977E8925D7B6F4EEB04D__1_0_13123_0, StartTime=2016.05.05-15.34.56, HierarchicalDDC=, DataSize=385, Duration=2.467073, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
