CookerStat, GenerateAssetRegistry=0.199936, Initialize=0.853762, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_48C4970E42F9D801ADD3128EE3419295__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=651, Duration=3.180549, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_48EDD8374FAD6161CAE02BB16B180769__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=437, Duration=1.387779, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A19686914607C50714FD0B814669666B__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=347, Duration=1.007620, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2D6713824CC9E39715D1BF9A2E039F25__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=347, Duration=1.080319, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A2FB1DBF43ADE61AC892FCBC69FA859D__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=741, Duration=3.764994, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4308F2BD4137611E99A1808ACD3FFA7A__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=585, Duration=2.713602, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7F6050E4F954E95182B4B9C550F9810__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=743, Duration=2.246402, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E4BFE4D4A4E394A3181F2AF30FF52CE__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=385, Duration=3.452931, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D2AFCD8B443FAEBF920407AAD5F525AE__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=458, Duration=1.351681, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_708776284F7092C23139BF9B2D5E0F17__1_0_13123_0, StartTime=2016.05.05-19.59.38, HierarchicalDDC=, DataSize=651, Duration=1.039617, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
